1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018:Q2,8376880,30321,2286,60719,4790,947259,55331,307321,118458,4057,462092,9425,2707756,292300,4322024,4111866,210158,8450768
2018:Q3,8441939,29959,2259,59995,4733,943358,54671,301734,116304,3387,467262,12541,2779599,285511,4323984,4118707,205277,8516374
2018:Q4,8512860,28559,2153,57191,4512,975592,52116,367854,141791,4029,409802,12329,2478604,270505,4683415,4488927,194488,8582145
2019:Q1,8524710,19405,11,21638,3720,1056909,19597,357618,144296,0,535398,9672,2408245,127351,4877759,4334735,543024,8651964
2019:Q2,8603841,24244,1797,16294,3318,1028594,16809,381967,146099,0,483719,8857,2348544,91871,5080322,4310178,770144,8722714
2019:Q3,8665451,29927,1878,16792,11672,1004803,11803,343486,179320,0,470194,9115,2455137,176076,4960051,4297490,662561,8794418
2019:Q4,8724750,22084,4200,21072,6721,954884,12375,329266,166888,0,446355,7877,2523465,168428,5016019,4205490,810529,8866419
2020:Q1,8826407,21592,3972,28415,6531,968797,16317,325278,174994,0,452208,8295,2145001,138478,5505326,4783359,721967,8938984
2020:Q2,8868940,20006,2507,26853,4120,996956,10309,284653,184348,0,517646,7303,2341432,149226,5320537,4499440,821097,9011678
2020:Q3,8942905,21168,2186,27783,2861,1021238,10243,309889,193139,0,507967,7536,2526566,156509,5177058,4390500,786558,9085007
2020:Q4,9022915,28041,2195,21280,7819,1074578,8615,346770,189844,0,529349,6943,2843545,196888,4841626,4020321,821305,9158149
2021:Q1,9078453,24842,2202,23386,18358,1082335,15332,344494,190713,0,531796,7435,2957463,180948,4781484,3936497,844987,9231291
2021:Q2,9139638,25954,2364,21949,24504,1171231,18398,393166,191625,0,568042,7366,3133297,183020,4569953,3693183,876770,9304432
2021:Q3,9207035,34173,2110,29342,16465,1173588,17359,418488,202138,0,535603,7584,3077873,191520,4674380,3737383,936997,9377574
2021:Q4,9272560,37417,2091,29731,19858,1214219,19134,450215,203629,0,541241,7596,3207092,199930,4554626,3601836,952790,9450715
